Sample_Name,Latitude,Longitude,DOC,DTN,MBC,MBN,NH4_N,NO3_N,VWC,A,soil T,Ph,clustering,average.degree,modularity
JR2_V0,31.92732753,119.1372501,31.897,12.466,336.971,23.864,5.024,5.423,NA,NA,NA,NA,0.025170425,137,-0.007524676
JR2_V01,31.92741762,119.1372501,31.231,13.844,275.05,18.418,5.329,3.526,NA,NA,NA,NA,0.022411953,134,-0.007682555
JR2_V06,31.9275978,119.1372501,24.646,9.545,309.944,21.092,5.502,7.347,NA,NA,NA,NA,0.022959184,136,-0.007570044
JR2_V16,31.92795816,119.1372501,26.557,13.311,210.118,15.027,5.536,3.535,NA,NA,NA,4.59,0.023423423,128,-0.008048095
JR2_V36,31.91328413,119.1740591,25.753,9.582,251.866,19.695,5.023,6.01,NA,NA,NA,NA,0.023661972,128,-0.008036813
JR2_V76,31.91328413,119.1741111,25.355,12.201,358.199,39.051,4.908,5.365,NA,NA,NA,NA,0.023178808,128,-0.008031289
JR3_H01,31.91328413,119.1742151,27.366,11.359,286.319,27.897,2.882,3.762,NA,NA,NA,4.8,0.027042254,130,-0.007913738
JR3_H06,31.91328413,119.1744232,24.578,8.42,268.3,23.533,2.615,4.882,NA,NA,NA,4.19,0.029107374,124,-0.008302904
JR3_H16,31.91328413,119.1748393,21.405,9.432,311.026,27.862,2.685,5.068,NA,NA,NA,4.57,0.02672956,137,-0.007524676
JR3_H36,31.91328413,119.1740487,21.974,9.818,347.442,27.98,2.971,1.985,NA,NA,NA,4.53,0.026153846,136,-0.007575636
JR3_H76,31.91329314,119.1740487,18.631,5.914,112.514,13.786,2.451,1.086,NA,NA,NA,4.81,0.025927809,138,-0.007469278
JR3_V0,31.91333818,119.1740487,23.943,14.182,364.261,42.373,2.46,8.21,NA,NA,NA,4.34,0.024575775,125,-0.008221298
JR3_V01,31.91342827,119.1740487,22.401,12.393,271.491,27.599,2.973,5.045,NA,NA,NA,4.7,0.02006079,124,-0.008279338
JR3_V06,31.91360845,119.1740487,31.24,11.053,196.905,14.27,3.039,9.429,NA,NA,NA,4.36,0.024429967,131,-0.007855075
JR3_V16,31.91396881,119.1740487,26.024,14.385,287.358,31.692,2.775,2.425,NA,NA,NA,4.2,0.022753792,128,-0.008009327
JR3_V36,31.86846359,119.1842179,32.051,8.348,261.511,30.251,2.555,11.552,NA,NA,NA,5.19,0.019791094,132,-0.007795842
JR3_V76,31.86846359,119.1842699,21.339,13.414,292.011,31.46,2.827,6.032,NA,NA,NA,6.33,0.026158038,133,-0.007754892
TC1_H01,31.86846359,119.1843739,29.025,8.93,182.172,6.321,4.938,1.742,39,39,15.6,4.93,0.024590164,137,-0.007522855
TC1_H06,31.86846359,119.184582,26.214,8.478,227.297,7.536,5.303,0.829,41.8,40.4,15.4,5.1,0.024628014,136,-0.007579418
TC1_H16,31.86846359,119.1849981,26.173,8.116,151.715,11.418,5.217,1.834,36.8,39.2,15.8,5.11,0.02679979,133,-0.007733851
TC1_H36,31.86846359,119.1842075,28.123,9.117,262.514,13.529,5.445,0.489,41.5,39.8,16,5.13,0.025927809,138,-0.007469278
TC1_H76,31.8684726,119.1842075,28.516,8.817,184.002,7.93,5.622,0.613,36.5,39.1,16.4,4.66,0.022328549,133,-0.007737087
TC1_V0,31.86851764,119.1842075,24.05,6.578,154.834,8.131,4.679,1.86,38.4,38.4,15.8,4.85,0.023809524,135,-0.007624851
TC1_V01,31.86860773,119.1842075,25.806,8.297,175.091,6.276,4.487,1.462,38.7,38.5,15.2,4.91,0.023784355,135,-0.007631406
TC1_V06,31.86878791,119.1842075,27.505,7.865,209.445,8.988,5.038,1.899,38.4,38.2,15.8,4.82,0.024755028,136,-0.0075781
TC1_V16,31.86914827,119.1842075,27.575,9.032,289.024,12.674,4.903,2.499,36.2,37.8,16,5.25,0.026113671,137,-0.007523752
TC1_V36,30.96095278,116.9317937,29.625,9.219,160.786,7.081,4.817,1.359,39,38,16,4.85,0.025954198,137,-0.007513943
TC1_V76,30.96095278,116.9318457,27.136,8.708,145.194,4.185,4.637,1.962,34.3,37.9,16,5.86,0.025927809,138,-0.007469278
TC2_H01,30.96095278,116.9319497,33.833,10.19,265.898,16.315,6.128,0.441,37.9,38.6,16,4.41,0.023910733,133,-0.007710694
TC2_H06,30.96095278,116.9321578,27.96,7.999,381.119,31.411,5.073,0.276,39.8,38.9,17.2,4.21,0.024549918,134,-0.00768864
TC2_H16,30.96095278,116.9325739,28.019,6.702,465.91,33.918,5.478,0.266,40.4,39,16.6,4.18,0.023836549,131,-0.007856532
TC2_H36,30.96095278,116.9317833,30.736,8.862,369.639,33.154,7.574,0.379,38.7,39,16,4.3,0.024012807,133,-0.007735485
TC2_H76,30.96096179,116.9317833,27.771,9.276,433.269,42.397,6.36,0.581,40.9,39.1,16.5,4.44,0.024630542,134,-0.007694106
TC2_V0,30.96100683,116.9317833,30.253,8.737,245.03,11.045,5.291,0.322,39,39,16.5,4.38,0.021922428,131,-0.007852809
TC2_V01,30.96109692,116.9317833,31.145,9.135,280.6,15.681,6.151,0.407,38.7,38.8,16.4,4.32,0.022875817,131,-0.007848393
TC2_V06,30.9612771,116.9317833,32.259,8.912,301.854,11.763,6.173,0.425,40.4,39.4,17.2,4.35,0.024469821,132,-0.0077676
TC2_V16,30.96163746,116.9317833,31.317,9.132,268.077,11.098,5.731,0.677,37.6,38.9,16.5,4.29,0.025252525,131,-0.007828949
TC2_V36,30.91966111,116.9127854,34.165,10.917,348.429,15.694,5.963,0.388,36.2,38.4,16.2,4.28,0.024889381,130,-0.007913028
TC2_V76,30.91966111,116.9128374,29.216,8.531,217.816,9.453,5.448,0.975,40.4,38.7,16.7,4.16,0.027164686,131,-0.007854569
TC3_H01,30.91966111,116.9129414,24.502,7.639,325.206,26.877,4.361,0.305,36.2,38.7,18,4.98,0.025236593,136,-0.007578825
TC3_H06,30.91966111,116.9131495,23.26,6.801,226.215,19.557,5.841,0.287,39,39.1,17.8,5.08,0.022925764,134,-0.007690015
TC3_H36,30.91966111,116.9135656,25.576,7.409,281.38,24.933,6.102,0.557,43.2,38.9,18.5,4.99,0.025927809,138,-0.007469278
TC3_H76,30.91966111,116.912775,29.752,8.784,266.649,27.268,5.53,0.456,40.1,39,19,5.03,0.025988089,134,-0.007681214
TC3_V0,30.91967012,116.912775,25.891,8.414,463.633,39.769,5.148,0.342,39.3,39.3,19.5,5.31,0.025927809,138,-0.007469278
TC3_V01,30.91971516,116.912775,26.176,7.557,345.373,24.299,5.431,0.581,38.7,36.3,18.8,4.88,0.023809524,135,-0.007627074
TC3_V06,30.91980525,116.912775,25.636,7.597,362.543,30.237,4.734,0.341,40.4,40.4,18.8,4.89,0.023796933,135,-0.007632471
TC3_V16,30.91998543,116.912775,27.722,7.66,301.542,19.742,4.755,0.971,38.2,39.3,18.4,4.74,0.025183631,135,-0.007630933
TC3_V36,30.92034579,116.912775,24.491,7.059,369.329,31.965,6.015,0.32,41.5,38.4,18.5,4.95,0.025383395,135,-0.007629316
TC3_V76,30.898875,116.9705548,25.821,8.48,368.114,23.026,5.484,0.282,42,39.1,19.2,4.95,0.025927809,137,-0.0075203
XT1_H01,30.898875,116.9706068,39.772,10.952,543.431,39.917,6.058,2.101,33.3,33.3,18.7,6.55,0.027093596,96,-0.010800698
XT1_H06,30.898875,116.9707108,35.032,11.356,502.421,50.336,5.546,1.411,34.7,35.2,16,6.45,0.025445293,98,-0.010570374
XT1_H16,30.898875,116.9709189,35.105,10.073,347.891,27.096,5.927,1.841,38.3,35.7,15.8,6.81,0.0286554,103,-0.010061042
XT1_H36,30.898875,116.971335,36.761,10.559,286.401,22.765,4.375,4.019,40.5,36.4,16.2,6.65,0.02750191,104,-0.009950223
XT1_H76,30.898875,116.9705444,24.678,8.185,152.641,18.543,3.479,5.145,36.3,36.4,17.4,6.72,0.027895182,100,-0.010372421
XT1_V0,30.89888401,116.9705444,37.096,11.297,601.986,41.411,5.88,0.603,54.8,54.8,17.2,6.54,0.025352113,101,-0.010282027
XT1_V01,30.89892905,116.9705444,36.198,10.013,340.283,17.706,5.439,1.287,52.3,53.5,17.7,6.5,0.023487544,96,-0.010826031
XT1_V06,30.89901914,116.9705444,33.436,9.017,462.219,44.075,5.191,0.771,50.9,52.7,16.3,6.74,0.021645022,104,-0.00994938
XT1_V16,30.89919932,116.9705444,36.978,9.793,305.474,21.471,5.729,0.601,54,53,16.7,6.68,0.025133283,101,-0.010258764
XT1_V36,30.89955968,116.9705444,36.972,9.995,376.897,32.109,6.883,2.362,55.4,53.5,16.2,6.82,0.021462639,95,-0.010902935
XT1_V76,30.14548333,113.0959882,38.403,11.75,678.753,55.142,5.797,2.338,52,53.2,17.2,6.8,0.028281363,102,-0.010150375
XT2_H01,30.14548333,113.0960402,29.614,12.921,219.638,30.105,4.365,4.1,33.5,34.4,15.6,6.67,0.02814699,100,-0.010383139
XT2_H06,30.14548333,113.0961442,28.083,10.546,104.056,12.267,4.973,4.765,34.9,34.5,17.9,6.75,0.031476998,103,-0.010082678
XT2_H16,30.14548333,113.0963523,23.971,9.306,64.47,4.979,4.088,2.859,37.7,34.8,16.8,6.8,0.030405405,98,-0.010599922
XT2_H36,30.14548333,113.0967684,23.115,7.839,115.218,14.598,4.837,0.754,37.7,35.1,17.3,6.77,0.030252101,97,-0.010708576
XT2_H76,30.14548333,113.0959778,31.301,8.431,179.48,15.347,5.595,1.115,31,34.7,17,6.88,0.029918404,96,-0.010791667
XT2_V0,30.14549234,113.0959778,24.545,10.555,200.921,26.563,3.663,4.382,31,31,15.6,6.64,0.028616852,106,-0.009761308
XT2_V01,30.14553738,113.0959778,25.379,9.758,184.898,25.111,3.769,5.34,34.9,32.9,15.8,6.7,0.025641026,104,-0.009946679
XT2_V06,30.14562747,113.0959778,26.78,10.817,189.51,22.104,4.217,1.954,36.9,34.3,16.6,6.71,0.036794767,109,-0.009524865
XT2_V16,30.14580765,113.0959778,28.73,8.185,136.411,10.788,4.211,0.505,37.5,34,16.4,6.62,0.026296567,98,-0.010599034
XT2_V36,30.14616801,113.0959778,28.374,7.241,129.408,15.674,4.409,5.361,37.5,34.6,18.4,6.7,0.026804124,108,-0.009606607
XT2_V76,30.36159167,113.1066882,26.606,10.134,181.615,23.838,5.26,6.57,34.1,34.5,16.4,6.44,0.033382789,112,-0.009228833
XT3_H01,30.36159167,113.1067402,27.235,7.519,116.503,6.824,6.146,1.295,37.7,39.2,16.5,6.61,0.025252525,99,-0.01048105
XT3_H06,30.36159167,113.1068442,24.23,7.437,166.787,14.044,5.896,1.226,39.1,39.2,17.4,6.48,0.027088036,101,-0.010288822
XT3_H16,30.36159167,113.1070523,31.023,8.818,225.341,25.439,6.313,1.936,38.9,39.2,16.4,6.68,0.02907489,101,-0.01026617
XT3_H36,30.36159167,113.1074684,34.273,10.191,259.961,23.093,5.501,2.797,40.5,39.3,16.4,6.45,0.033219761,95,-0.010943613
XT3_H76,30.36159167,113.1066778,24.483,7.967,211.028,9.535,4.558,0.396,38.6,39.3,16.7,6.54,0.029500756,97,-0.010745438
XT3_V0,30.36160068,113.1066778,33.967,9.438,201.169,20.377,5.888,0.489,39.4,39.4,16.6,6.68,0.029097963,91,-0.011456803
XT3_V01,30.36164572,113.1066778,32.282,9.045,200.016,19.927,6.008,0.792,37.5,38.4,15.3,6.65,0.032311516,97,-0.010727649
XT3_V06,30.36173581,113.1066778,34.885,9.591,297.208,28.831,5.622,0.654,40.5,39.1,15.5,6.6,0.029500756,97,-0.010732163
XT3_V16,30.36191599,113.1066778,35.611,9.751,233.97,25.915,6.265,1.319,41.4,39.1,17.5,6.48,0.027149321,101,-0.010283833
XT3_V36,30.36227635,113.1066778,33.182,9.068,269.557,28.33,7.991,0.832,39.4,39.2,17.2,6.35,0.024630542,97,-0.010681862
XT3_V76,30.39248333,113.0993548,34.434,9.431,190.946,17.956,5.527,0.633,40.8,39.4,17.5,6.48,0.03433923,95,-0.010935452
